0	25	0	
1	21	23	
2	30	52	
3	40	91	
4	41	114	
5	0	160	
6	41	169	
7	0	247	
8	41	247	
9	0	340	
10	41	340	
11	0	404	
12	41	404	
13	0	459	
14	12	470	
15	41	470	
16	69	524	
17	111	492	
18	111	469	
19	111	404	
20	111	340	
21	111	247	
22	111	174	
23	111	133	
24	127	78	
25	91	0	
26	146	13	
27	150	0	
28	170	0	
29	191	0	
30	238	85	
31	231	102	
32	216	160	
33	161	178	
34	161	245	
35	161	338	
36	161	402	
37	161	471	
38	161	524	
39	212	524	
40	212	471	
41	212	402	
42	212	338	
43	212	245	
44	212	183	
45	261	0	
46	293	51	
47	307	71	
48	347	121	
49	322	188	
50	322	243	
51	322	337	
52	322	400	
53	322	472	
54	322	524	
55	414	524	
56	414	472	
57	414	400	
58	386	336	
59	408	328	
60	379	240	
61	404	101	
62	362	19	
63	355	0	
64	372	15	
65	482	0	
66	482	17	
67	482	103	
68	434	153	
69	408	189	
70	438	194	
71	446	212	
72	482	202	
73	482	173	
74	509	180	
75	465	250	
76	480	271	
77	452	260	
78	470	314	
79	487	308	
80	510	474	
81	510	524	
82	543	311	
83	552	224	
84	588	0	
85	588	18	
86	588	109	
87	588	234	
88	588	315	
89	588	333	
90	583	474	
91	618	524	
92	647	524	
93	647	472	
94	646	370	
95	649	333	
96	651	318	
97	654	253	
98	654	114	
99	662	114	
100	662	18	
101	662	0	
102	770	18	
103	746	117	
104	770	117	
105	742	130	
106	742	253	
107	770	253	
108	741	318	
109	742	332	
110	770	331	
111	743	371	
112	756	403	
113	756	472	
114	770	472	
